ANT1	46.99	67.60	0.00	2450AT18B100E_2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	39.40	80.04	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C1-EP-DR	52.07	87.63	180.00	10uF	NORDIC_NRF_3_RESC0402_L
C10	35.89	65.75	180.00	N.C.	NORDIC_NRF_3_RESC0201_L
C11	38.78	74.62	0.00	100pF	NORDIC_NRF_3_RESC0201_L
C12	35.56	77.47	90.00	100nF	NORDIC_NRF_3_RESC0201_L
C13	34.02	77.22	90.00	N.C.	NORDIC_NRF_3_RESC0201_L
C14	29.21	69.85	180.00	4.7µF	NORDIC_NRF_3_RESC0402_L
C15	38.02	65.75	180.00	1.0µF	NORDIC_NRF_3_RESC0402_L
C16	34.26	67.02	270.00	47nF	NORDIC_NRF_3_RESC0201_L
C17	25.32	77.55	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C18	28.26	78.74	270.00	12pF	NORDIC_NRF_3_RESC0201_L
C19	49.53	83.82	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C2	36.83	77.45	90.00	12pF	NORDIC_NRF_3_RESC0201_L
C2-EP-DR	26.93	85.09	90.00	4.7uF/25V	NORDIC_NRF_3_RESC0402_L
C20	31.75	67.31	270.00	4.7µF	NORDIC_NRF_3_RESC0402_L
C21	30.48	67.31	270.00	4.7µF	NORDIC_NRF_3_RESC0402_L
C22	43.28	67.02	180.00	N.C.	NORDIC_NRF_3_RESC0201_L
C23	40.64	82.55	180.00	GRM011R60J152KE01L_2_GRM011R60J152KE01L	GRM011R60J152KE01L_2_CAPC0201X13N
C24	44.46	83.00	281.80	10uF	NORDIC_NRF_3_RESC0402_L
C25	48.33	81.55	90.00	22uF	NORDIC_NRF_3_RESC0402_L
C27	30.39	81.64	180.00	GRM011R60J152KE01L_2_GRM011R60J152KE01L	GRM011R60J152KE01L_2_CAPC0201X13N
C29	40.64	63.50	0.00	GRM011R60J152KE01L_2_GRM011R60J152KE01L	GRM011R60J152KE01L_2_CAPC0201X13N
C3	39.70	67.02	180.00	1pF	NORDIC_NRF_3_RESC0201_L
C30	16.51	64.77	0.00	GRM011R60J152KE01L_2_GRM011R60J152KE01L	GRM011R60J152KE01L_2_CAPC0201X13N
C31	29.21	62.23	0.00	GRM011R60J152KE01L_2_GRM011R60J152KE01L	GRM011R60J152KE01L_2_CAPC0201X13N
C32	22.86	69.85	90.00	GRM011R60J152KE01L_2_GRM011R60J152KE01L	GRM011R60J152KE01L_2_CAPC0201X13N
C33	47.13	81.28	90.00	22uF	NORDIC_NRF_3_RESC0402_L
C34	50.80	83.82	270.00	GRM011R60J152KE01L_2_GRM011R60J152KE01L	GRM011R60J152KE01L_2_CAPC0201X13N
C37	27.94	63.50	270.00		NORDIC_NRF_3_RESC0402_L
C38	25.40	64.77	90.00	GRM011R60J152KE01L_2_GRM011R60J152KE01L	GRM011R60J152KE01L_2_CAPC0201X13N
C39	26.67	67.51	270.00	10uF	NORDIC_NRF_3_RESC0402_L
C4	43.18	68.70	180.00	1pF	NORDIC_NRF_3_RESC0201_L
C42	40.64	85.09	90.00	GRM011R60J152KE01L_2_GRM011R60J152KE01L	GRM011R60J152KE01L_2_CAPC0201X13N
C43	43.18	85.09	90.00	4.7uF	NORDIC_NRF_3_RESC0402_L
C5	31.04	79.37	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C6	29.54	78.74	180.00	4.7µF	NORDIC_NRF_3_RESC0402_L
C7	39.29	68.74	270.00	100nF	NORDIC_NRF_3_RESC0201_L
C8	29.13	77.47	180.00	100nF	NORDIC_NRF_3_RESC0201_L
C9	40.22	73.70	270.00	820pF	NORDIC_NRF_3_RESC0201_L
D2	27.50	81.74	270.00	ESP32_C6_LIBRARY_5_MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D3	43.64	90.91	0.00	ESP32_C6_LIBRARY_3_USBLC6-2SC6Y	ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4	25.36	90.80	270.00	ESP32_C6_LIBRARY_5_MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D5	25.36	81.28	90.00	ESP32_C6_LIBRARY_5_MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1	22.89	80.62	270.00	 1uF/50V	NORDIC_NRF_3_RESC0402_L
EPD_C10	22.86	72.20	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_L
EPD_C11	22.54	71.11	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_L
EPD_C12	21.18	69.95	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_L
EPD_C2	23.27	83.07	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_L
EPD_C5	50.04	80.67	0.00	0.1uF/50V	NORDIC_NRF_3_RESC0402_L
EPD_C6	23.92	81.27	90.00	1uF/50V	NORDIC_NRF_3_RESC0402_L
EPD_C7	22.62	77.97	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_L
EPD_C8	22.86	76.25	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_L
EPD_C9	24.13	74.22	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_L
IC1	29.40	72.20	0.00	BQ25180YBGR_BQ25180YBGR	BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2	25.03	69.85	0.00	DRV2605YZFR_DRV2605YZFR	DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3	37.39	81.22	180.00	BMA423_BMA423	BMA423_BMA423
IC9	45.72	80.62	0.00	RT6160AWSC_RT6160AWSC	RT6160AWSC_BGA15C40P3X5_140X230X60
J1	20.02	77.59	269.20	503480-2400_503480-2400	503480-2400_5034802400
J2	46.04	73.66	0.00	TC2030-IDC_TC2030-IDC	TC2030-IDC_TC2030IDC
J4	32.55	89.54	180.00	KH-TYPE-C-16P_KH-TYPE-C-16P	KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1	41.38	65.80	180.00	3.9nH	NORDIC_NRF_2_RESC0201_L
L2	32.94	78.43	0.00	10µH	NORDIC_NRF_2_RESC0201_L
L3	32.08	69.41	270.00	15nH	NORDIC_NRF_2_RESC0201_L
L5	50.80	91.44	0.00	68uH	NORDIC_NRF_2_RESC0402_L
L7	51.31	78.61	180.00	MLP2016SR47MT0S1_FTC252012SR47MBCA	MLP2016SR47MT0S1_INDC2016X100N
Q1	52.93	82.55	90.00	20V/4.2A/52mΩ/1.4W	ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3	17.14	89.60	0.00	ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3	ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17	49.36	82.55	180.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R18	41.91	79.32	180.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R1_EP_DR	21.59	85.49	180.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R1_USB	33.67	86.08	269.50	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R2	43.18	79.89	90.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R2_EP_DR	46.22	82.65	0.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R2_USB	31.12	85.09	90.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R3	39.37	82.55	180.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R4	44.16	78.62	270.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R5	19.31	65.83	0.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R7	38.36	64.17	270.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R8	30.11	63.26	270.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R9	19.90	65.13	270.00	10k	CPF0201D7K68C1_0201
R_PWR_EPD	54.75	81.28	180.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R_TYPE_SEL	22.86	85.09	0.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
SJ1	20.20	92.53	270.00		ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN	44.45	64.15	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT	33.02	64.34	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP	22.19	64.15	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V	33.58	80.01	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3V3	29.77	80.40	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_BAT_GND	22.94	90.25	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_GND	16.03	86.46	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_ON	25.13	66.32	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_OP	22.00	68.49	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_RESET	53.28	73.66	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SCL	26.09	73.87	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA	26.18	71.47	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDCLK	48.53	78.93	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDIO	40.63	72.07	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWO	35.98	68.58	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VBAT	30.48	83.43	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VREG	42.06	82.12	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U1	33.80	73.28	0.00	NORDIC_NRF_4_NRF52840_QF	NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3	34.30	83.62	0.00	ESP32_C6_LIBRARY_MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1	39.37	77.08	270.00	32MHz	NORDIC_NRF_BT-XTAL_2016_N
X2	27.94	75.89	0.00	32.768kHz	NORDIC_NRF_1_XTAL_3215_N
